Sample,Type,Class,TPO,TG,NT5E,SLC5A5,ANPEP,CCND1,GAB2,HPSE,DAPK1,EIF5A2,KIT,PTPN14,SFTPC,GATA3
BJ.A0ZF.01,Other,Tumour,"11,57","15,30",",49","1,39","-1,72",",58","-1,33","-2,88","-1,14","-1,85","2,96","-1,72","1,37",",81"
DJ.A3UZ.01,Other,Tumour,"12,12","15,06","2,82","5,07","-2,40",",94","-,35","-,58","-,06","-1,25","2,26",",50","1,31","1,08"
FY.A2QD.01,Other,Tumour,"14,62","15,67","-2,56","2,73","-5,66",",75","-3,83","-3,61","-,59","-1,10","3,92","-,71","1,63",",68"
EM.A22P.01,Other,Tumour,"9,34","14,98",",97","1,00","-,23","1,59","-,22","-,55",",01","-,66",",31",",04","-2,87","1,36"
EM.A1CT.01,Classical,Tumour,"7,24","14,70","1,02","-1,53","-1,13","1,27",",70",",38","-,50","-1,55",",40",",56","-1,67",",33"
ET.A39J.01,Other,Tumour,"8,91","13,70","2,58","-,82","-2,15","2,06","-,15",",37","-1,37","-1,17",",93",",24","-1,64","2,70"
EL.A3GW.01,Other,Tumour,"10,65","14,16","2,01","-,30","-3,89","2,00",",54","-2,05","-,67","-1,23","-,86","-,77",",16","-1,38"
EL.A3ZK.01,Classical,Tumour,"9,51","13,49","3,27","-,96","-1,86","1,78","-,09","1,10","-,58","-2,37","-1,43",",66","-,67","1,13"
ET.A3BN.01,Other,Tumour,"8,62","13,81","4,08","3,93","-3,44","2,81","-,27","2,11","-2,36","-,87","-,24","1,98","-1,85",",79"
FY.A3R7.01,Other,Tumour,"13,10","15,22","1,39","2,71","-1,82","1,40","-,19","-,76",",29","-1,12","2,78","1,15","1,26","1,47"
DJ.A1QD.01,Other,Tumour,"7,56","13,30","2,90","-1,02","-2,17","2,09",",37",",89","-,97","-1,38","-1,09","1,40","-2,02","1,78"
EM.A2OW.01,Other,Tumour,"15,21","16,25",",48","9,43","-3,59",",45","-,94","-4,18","-2,71","-1,79","3,61","-,01","4,95",",56"
